zipcodeclean,countyclean,fipsclean
94965,marin,06041
94929,marin,06041
94956,marin,06041
94973,marin,06041
94937,marin,06041
94924,marin,06041
94938,marin,06041
94940,marin,06041
94946,marin,06041
94933,marin,06041
94971,marin,06041
94950,marin,06041
94970,marin,06041
94957,marin,06041
94945,marin,06041
94947,marin,06041
94949,marin,06041
94920,marin,06041
94939,marin,06041
94952,marin,06041
94904,marin,06041
94901,marin,06041
94903,marin,06041
94941,marin,06041
94960,marin,06041
94925,marin,06041
94963,marin,06041
94964,marin,06041
94541,alameda,06001
94544,alameda,06001
94601,alameda,06001
94603,alameda,06001
94605,alameda,06001
94606,alameda,06001
94612,alameda,06001
94578,alameda,06001
94579,alameda,06001
94545,alameda,06001
94621,alameda,06001
94580,alameda,06001
94720,alameda,06001
92236,riverside,06065
92543,riverside,06065
92583,riverside,06065
92561,riverside,06065
92530,riverside,06065
92201,riverside,06065
92878,riverside,06065
92532,riverside,06065
92570,riverside,06065
92544,riverside,06065
92582,riverside,06065
92276,riverside,06065
92240,riverside,06065
92551,riverside,06065
92545,riverside,06065
92220,riverside,06065
92567,riverside,06065
92539,riverside,06065
92548,riverside,06065
92590,riverside,06065
92549,riverside,06065
92241,riverside,06065
92536,riverside,06065
92230,riverside,06065
92282,riverside,06065
92324,riverside,06065
92518,riverside,06065
92258,riverside,06065
95684,el dorado,06017
95682,el dorado,06017
95762,el dorado,06017
96150,el dorado,06017
95667,el dorado,06017
95623,el dorado,06017
95726,el dorado,06017
95619,el dorado,06017
95672,el dorado,06017
95633,el dorado,06017
95614,el dorado,06017
95664,el dorado,06017
95634,el dorado,06017
95651,el dorado,06017
95656,el dorado,06017
95709,el dorado,06017
95635,el dorado,06017
96142,el dorado,06017
95636,el dorado,06017
96002,shasta,06089
96003,shasta,06089
96022,shasta,06089
96073,shasta,06089
96001,shasta,06089
96007,shasta,06089
96019,shasta,06089
96084,shasta,06089
96088,shasta,06089
96013,shasta,06089
96008,shasta,06089
96069,shasta,06089
96062,shasta,06089
96028,shasta,06089
96087,shasta,06089
96051,shasta,06089
96033,shasta,06089
96056,shasta,06089
96096,shasta,06089
96065,shasta,06089
,shasta,06089
96016,shasta,06089
96017,shasta,06089
96040,shasta,06089
96059,shasta,06089
96047,shasta,06089
96089,shasta,06089
96071,shasta,06089
96011,shasta,06089
96025,shasta,06089
95901,yuba,06115
95961,yuba,06115
95918,yuba,06115
95692,yuba,06115
95962,yuba,06115
95977,yuba,06115
95935,yuba,06115
95919,yuba,06115
95903,yuba,06115
95922,yuba,06115
95972,yuba,06115
95941,yuba,06115
95925,yuba,06115
95966,yuba,06115
94558,napa,06055
94515,napa,06055
94559,napa,06055
94503,napa,06055
94574,napa,06055
94599,napa,06055
94508,napa,06055
94567,napa,06055
95476,napa,06055
94573,napa,06055
94576,napa,06055
96021,tehama,06103
96080,tehama,06103
96022,tehama,06103
96055,tehama,06103
95963,tehama,06103
96035,tehama,06103
96090,tehama,06103
96092,tehama,06103
96074,tehama,06103
96029,tehama,06103
96075,tehama,06103
96078,tehama,06103
96063,tehama,06103
96059,tehama,06103
95973,tehama,06103
96061,tehama,06103
96076,tehama,06103
96137,plumas,06063
96122,plumas,06063
96020,plumas,06063
95971,plumas,06063
95956,plumas,06063
96103,plumas,06063
95947,plumas,06063
96101,modoc,06049
96116,modoc,06049
97635,modoc,06049
96105,plumas,06063
96106,plumas,06063
96104,modoc,06049
96054,modoc,06049
95915,plumas,06063
96015,modoc,06049
95983,plumas,06063
96108,modoc,06049
96112,modoc,06049
96006,modoc,06049
96134,modoc,06049
96115,modoc,06049
,modoc,06049
96129,plumas,06063
95984,plumas,06063
95934,plumas,06063
95923,plumas,06063
95981,plumas,06063
96118,sierra,06091
96125,sierra,06091
96126,sierra,06091
95936,sierra,06091
95960,sierra,06091
89439,sierra,06091
95922,sierra,06091
96124,sierra,06091
95944,sierra,06091
96007,tehama,06103
96091,trinity,06105
96093,trinity,06105
95370,tuolumne,06109
95327,tuolumne,06109
96041,trinity,06105
95595,trinity,06105
96048,trinity,06105
96094,siskiyou,06093
96067,siskiyou,06093
95321,tuolumne,06109
96024,trinity,06105
95383,tuolumne,06109
96025,siskiyou,06093
95527,trinity,06105
96097,siskiyou,06093
96046,trinity,06105
96027,siskiyou,06093
96052,trinity,06105
96064,siskiyou,06093
96044,siskiyou,06093
95379,tuolumne,06109
95563,trinity,06105
95329,tuolumne,06109
96038,siskiyou,06093
95346,tuolumne,06109
95372,tuolumne,06109
95335,tuolumne,06109
95310,tuolumne,06109
96076,trinity,06105
95364,tuolumne,06109
95552,trinity,06105
96010,trinity,06105
96134,siskiyou,06093
96057,siskiyou,06093
95309,tuolumne,06109
96034,siskiyou,06093
95526,trinity,06105
95305,tuolumne,06109
96032,siskiyou,06093
95347,tuolumne,06109
95311,tuolumne,06109
95613,el dorado,06017
95720,el dorado,06017
95629,el dorado,06017
95464,lake,06033
95467,lake,06033
95451,lake,06033
95457,lake,06033
95422,lake,06033
95453,lake,06033
95461,lake,06033
95458,lake,06033
95423,lake,06033
95485,lake,06033
95426,lake,06033
95493,lake,06033
95443,lake,06033
95424,lake,06033
95435,lake,06033
96128,lassen,06035
96137,lassen,06035
96130,lassen,06035
96109,lassen,06035
96114,lassen,06035
96006,lassen,06035
96113,lassen,06035
96123,lassen,06035
96119,lassen,06035
96009,lassen,06035
96136,lassen,06035
96117,lassen,06035
95981,yuba,06115
96056,lassen,06035
96121,lassen,06035
96132,lassen,06035
96050,siskiyou,06093
96023,siskiyou,06093
96037,siskiyou,06093
96039,siskiyou,06093
96058,siskiyou,06093
96031,siskiyou,06093
96086,siskiyou,06093
96014,siskiyou,06093
96085,siskiyou,06093
96056,modoc,06049
96110,modoc,06049
96135,plumas,06063
95988,glenn,06021
95963,glenn,06021
95951,glenn,06021
95943,glenn,06021
95939,glenn,06021
95970,glenn,06021
95913,glenn,06021
95248,calaveras,06009
95255,calaveras,06009
95252,calaveras,06009
95228,calaveras,06009
95247,calaveras,06009
95251,calaveras,06009
95222,calaveras,06009
95249,calaveras,06009
95225,calaveras,06009
95223,calaveras,06009
95910,sierra,06091
95246,calaveras,06009
95224,calaveras,06009
95245,calaveras,06009
95254,calaveras,06009
95920,glenn,06021
95232,calaveras,06009
95233,calaveras,06009
95226,calaveras,06009
95257,calaveras,06009
95229,calaveras,06009
95912,colusa,06011
95932,colusa,06011
95987,colusa,06011
95230,calaveras,06009
95955,colusa,06011
95979,colusa,06011
95970,colusa,06011
95950,colusa,06011
95221,calaveras,06009
95236,calaveras,06009
95735,el dorado,06017
95666,amador,06005
95665,amador,06005
95685,amador,06005
95629,amador,06005
95640,amador,06005
95642,amador,06005
95689,amador,06005
95669,amador,06005
95675,amador,06005
95699,amador,06005
95601,amador,06005
95646,amador,06005
95568,siskiyou,06093
94558,lake,06033
95957,colusa,06011
95988,colusa,06011
92114,riverside,06065
96003,trinity,06105
95375,tuolumne,06109
96075,shasta,06089
95666,el dorado,06017
96068,lassen,06035
95914,yuba,06115
95980,plumas,06063
96076,shasta,06089
96057,shasta,06089
95960,yuba,06115
95645,colusa,06011
